Name,Country,Age,"Height, cm",Weight,Sex,Date of birth,Birth Month,Place of birth,Gold,Silver,Bronze,Total,Sport,Event
Vasyl Lomachenko,Ukraine,24,170,,M,2/17/1988,2,,0,0,0,0,Boxing,Men's Light (60kg)
Daeyoong Kim,Republic of Korea,24,169,65,M,2/18/1988,2,Seoul (KOR),0,0,0,0,Shooting,Men's 25m Rapid Fire Pistol
Grigory Sukochev,Australia,24,196,87,M,2/18/1988,2,Tashkent (UZB),0,0,0,0,Volleyball,Men's Volleyball
Lili Xu,People's Republic of China,24,166,63,F,2/18/1988,2,Shandong (CHN),0,1,0,1,Judo,Women's -63kg
Ruben Knab,Netherlands,24,192,98,M,2/19/1988,2,,0,0,0,0,Rowing,Men's Four
Sebastian Mora Vedri,Spain,24,181,70,M,2/19/1988,2,VILA REAL (ESP),0,0,0,0,Cycling - Track,Men's Team Pursuit
Andrew Osagie,Great Britain,24,189,72,M,2/19/1988,2,HARLOW (GBR),0,0,0,0,Athletics,Men's 800m
Nataliya Pohrebnyak,Ukraine,24,171,63,F,2/19/1988,2,KUP'IANSK (UKR),0,0,0,0,Athletics,"Women's 100m, Women's 4 x 100m Relay"
Bo Bae Ki,Republic of Korea,24,168,55,F,2/20/1988,2,Gyeonggi,2,0,0,2,Archery,"Women's Individual, Women's Team"
Jakub Holusa,Czech Republic,24,183,72,M,2/20/1988,2,Opava (CZE),0,0,0,0,Athletics,Men's 800m
Okju Kim,Republic of Korea,24,164,57,F,2/20/1988,2,Seoul (KOR),0,0,0,0,Hockey,Women's Hockey
Ona Meseguer Flaque,Spain,24,167,62,F,2/20/1988,2,Barcelona (ESP),0,0,0,0,Water Polo,Women's Water Polo
Matthias de Zordo,Germany,24,190,98,M,2/21/1988,2,Bad Kreuznach (GER),0,0,0,0,Athletics,Men's Javelin Throw
Damir Dugonjic,Slovenia,24,202,105,M,2/21/1988,2,Slovenj Gradec (SLO),0,0,0,0,Swimming,Men's 100m Breaststroke
Billy Miller,Australia,24,188,89,M,2/21/1988,2,Brisbane (AUS),0,0,0,0,Water Polo,Men's Water Polo
Jonathan Borlee,Belgium,24,180,67,M,2/22/1988,2,Woluwe,0,0,0,0,Athletics,"Men's 400m, Men's 4 x 400m Relay"
Kevin Borlee,Belgium,24,180,67,M,2/22/1988,2,Woluwe,0,0,0,0,Athletics,"Men's 400m, Men's 4 x 400m Relay"
Wan-Jung Cheng,Taipei (Chinese Taipei),24,160,50,F,2/22/1988,2,Taipei City (TPE),0,0,0,0,Swimming,"Women's 200m Butterfly, Women's 200m Individual Medley"
Mohamed Elkhedr,Sudan,24,171,64,M,2/22/1988,2,ATBARA (SUD),0,0,0,0,Swimming,Men's 50m Freestyle
Citra Febrianti,Indonesia,24,152,53,F,2/22/1988,2,PRINGSEWU,0,0,0,0,Weightlifting,Women's 53kg
Alexander Sukhorukov,Russian Federation,24,197,92,M,2/22/1988,2,KOMI REGION (RUS),0,0,0,0,Swimming,Men's 4x200m Freestyle Relay
Nicolene Terblanche,South Africa,24,160,62,F,2/22/1988,2,GROBLERSDAL (RSA),0,0,0,0,Hockey,Women's Hockey
Clark Burckle,United States of America,24,183,88,M,2/23/1988,2,Louisville (USA),0,0,0,0,Swimming,Men's 200m Breaststroke
Michal Kubiak,Poland,24,191,91,M,2/23/1988,2,WALCZ (POL),0,0,0,0,Volleyball,Men's Volleyball
Nikolay Noev,Tajikistan,24,166,55,M,2/24/1988,2,SAKHA (RUS),0,0,0,0,Wrestling,Men's 55kg Freestyle
Yating Sun,People's Republic of China,24,180,80,F,2/24/1988,2,Tianjin (CHN),0,0,0,0,Water Polo,Women's Water Polo
Samuel Tsegay,Eritrea,24,176,59,M,2/24/1988,2,KUDOFELASI (ERI),0,0,0,0,Athletics,Men's Marathon
Victoria Voronina,Russian Federation,24,167,,F,2/24/1988,2,Rostov Region (RUS),0,0,0,0,Trampoline,Women's Trampoline
Soren Ludolph,Germany,24,182,68,M,2/25/1988,2,LUNEBURG (GER),0,0,0,0,Athletics,Men's 800m
Kai Zou,People's Republic of China,24,158,,M,2/25/1988,2,SICHUAN (CHN),1,0,0,1,Gymnastics - Artistic,"Men's Team, Men's Qualification"
Yeon-Koung Kim,Republic of Korea,24,192,73,F,2/26/1988,2,Gyeonggi (KOR),0,0,0,0,Volleyball,Women's Volleyball
Aleksandar Maksimovic,Serbia,24,180,66,M,2/26/1988,2,Beograd (SRB),0,0,0,0,Wrestling,Men's 66kg Greco-Roman
Hitomi Niiya,Japan,24,165,44,F,2/26/1988,2,SOJA (JPN),0,0,0,0,Athletics,"Women's 5000m, Women's 10,000m"
Vardan Pahlevanyan,Armenia,24,192,82,M,2/27/1988,2,Yerevan (ARM),0,0,0,0,Athletics,Men's Long Jump
Maria Gromova,Russian Federation,24,170,62,F,2/28/1988,2,Moscow (RUS),0,0,0,0,Swimming,Women's 4x100m Medley Relay
Tianyi Jiang,"Hong Kong, China",24,181,68,M,2/28/1988,2,Shandong,0,0,0,0,Table Tennis,"Men's Singles, Men's Team"
Mirzahid Farmonov,Uzbekistan,24,165,66,M,2/29/1988,2,KASHKADARYA REGION (UZB),0,0,0,0,Judo,Men's -66kg
Pauline Kwalea,Solomon Islands,24,,,F,2/29/1988,2,Honiara (SOL),0,0,0,0,Athletics,Women's 100m
Hannah Mills,Great Britain,24,157,50,F,2/29/1988,2,Cardiff (GBR),0,0,0,0,Sailing,Women's 470
Jonathan Hall,United States of America,24,175,95,M,3/1/1988,3,Birmingham (USA),0,0,0,0,Shooting,Men's 10m Air Rifle
Matthew Mitcham,Australia,24,174,67,M,3/2/1988,3,COOPERS PLAINS (AUS),0,0,0,0,Diving,Men's 10m Platform
Momotaro Matsushita,Japan,24,168,75,M,3/3/1988,3,KOMATSU (JPN),0,0,0,0,Canoe Sprint,"Men's Kayak Single (K1) 200m, Men's Kayak Double (K2) 200m"
Ezinne Okparaebo,Norway,24,,,F,3/3/1988,3,Imo (NGR),0,0,0,0,Athletics,"Women's 100m, Women's 200m"
Sandra Sepulveda,Colombia,24,168,55,F,3/3/1988,3,,0,0,0,0,Football,Women's Football
Steven Burke,Great Britain,24,183,74,M,3/4/1988,3,BURNLEY (GBR),0,0,0,0,Cycling - Track,Men's Team Pursuit
Jaele Patrick,Australia,24,164,59,F,3/4/1988,3,LILYDALE (AUS),0,0,0,0,Diving,Women's 3m Springboard
Klaas Vermeulen,Netherlands,24,179,79,M,3/4/1988,3,,0,0,0,0,Hockey,Men's Hockey
Jovana Brakocevic,Serbia,24,196,82,F,3/5/1988,3,Zrenjanin (SRB),0,0,0,0,Volleyball,Women's Volleyball
Ismail Keles,Turkey,24,168,72,M,3/5/1988,3,Ankara (TUR),0,0,0,0,Shooting,"Men's 50m Pistol, Men's 10m Air Pistol"
Illya Kvasha,Ukraine,24,176,73,M,3/5/1988,3,MYKOLAIV (UKR),0,0,0,0,Diving,"Men's 3m Springboard, Men's Synchronised 3m Springboard"
Karl Schulze,Germany,24,190,98,M,3/5/1988,3,,1,0,0,1,Rowing,Men's Quadruple Sculls
Timothy Drummond,South Africa,24,178,81,M,3/5/1988,3,,0,0,0,0,Hockey,Men's Hockey
Dailis Caballero,Cuba,24,,,F,3/6/1988,3,Ciudad Habana (CUB),0,0,0,0,Athletics,Women's Pole Vault
Jae Hyeon Kim,Republic of Korea,24,183,88,M,3/6/1988,3,,0,0,0,0,Hockey,Men's Hockey
Jiahong Liang,People's Republic of China,24,184,84,M,3/6/1988,3,Guangdong (CHN),0,0,0,0,Athletics,Men's 4 x 100m Relay
Alexander Smith,Great Britain,24,183,115,M,3/6/1988,3,Hull (GBR),0,0,0,0,Athletics,Men's Hammer Throw
Pirmin Blaak,Netherlands,24,188,83,M,3/8/1988,3,,0,0,0,0,Hockey,Men's Hockey
Keston Bledman,Trinidad and Tobago,24,180,88,M,3/8/1988,3,San Fernando (TRI),0,0,0,0,Athletics,"Men's 100m, Men's 4 x 100m Relay"
Laura Unsworth,Great Britain,24,157,54,F,3/8/1988,3,Sutton Coldfield (GBR),0,0,0,0,Hockey,Women's Hockey
Raya Zin Aldden,Syrian Arab Republic,24,176,65,F,3/8/1988,3,SWAIDA (SYR),0,0,0,0,Shooting,Women's 10m Air Rifle
Daisurami Bonne,Cuba,24,,,F,3/9/1988,3,Guantanamo (CUB),0,0,0,0,Athletics,Women's 4 x 400m Relay
Zhilong Li,People's Republic of China,24,180,70,M,3/9/1988,3,Beijing (CHN),0,0,0,0,Athletics,Men's 400m Hurdles
Ahmet Akdilek,Turkey,24,178,67,M,3/10/1988,3,KARAMAN (TUR),0,0,0,0,Cycling - Road,"Men's Individual Time Trial, Men's Road Race"
Clarissa Santos,Brazil,24,183,94,F,3/10/1988,3,,0,0,0,0,Basketball,Women's Basketball
Frank Thompson,United States of America,24,180,79,M,3/11/1988,3,ALLIANCE (USA),0,0,0,0,Shooting,Men's Skeet
Sebastian Brendel,Germany,24,192,92,M,3/12/1988,3,SCHWEDT ODER (GER),0,0,0,0,Canoe Sprint,"Men's Canoe Single (C1) 1000m, Men's Canoe Single (C1) 200m"
Jiyeon Kim,Republic of Korea,24,165,57,F,3/12/1988,3,,1,0,0,1,Fencing,Women's Individual Sabre
Maryna Pautaran,Belarus,24,178,68,F,3/12/1988,3,,0,0,0,0,Canoe Sprint,"Women's Kayak Double (K2) 500m, Women's Kayak Four (K4) 500m"
Willem de Beer,South Africa,24,188,73,M,3/14/1988,3,Pretoria (RSA),0,0,0,0,Athletics,Men's 4 x 400m Relay
Rico Freimuth,Germany,24,196,92,M,3/14/1988,3,Potsdam (GER),0,0,0,0,Athletics,Men's Decathlon
Scott Sunderland,Australia,24,178,92,M,3/16/1988,3,BUSSELTON (AUS),0,0,0,0,Cycling - Track,Men's Team Sprint
Tomomi Abiko,Japan,24,173,53,F,3/17/1988,3,KUSATSU (JPN),0,0,0,0,Athletics,Women's Pole Vault
Ondrej Polivka,Czech Republic,24,186,80,M,3/17/1988,3,Praha (CZE),0,0,0,0,Modern Pentathlon,Men's Modern Pentathlon
Igor Lisovenko,Russian Federation,24,183,79,M,3/19/1988,3,Rostov Region (RUS),0,0,0,0,Sailing,Men's Laser
Maxim Mikhaylov,Russian Federation,24,202,106,M,3/19/1988,3,Leningrad Region (RUS),0,0,0,0,Volleyball,Men's Volleyball
Moniek Nijhuis,Netherlands,24,179,66,F,3/20/1988,3,Losser (NED),0,0,0,0,Swimming,"Women's 100m Breaststroke, Women's 4x100m Medley Relay"
Katerina Cechova,Czech Republic,24,173,64,F,3/21/1988,3,Brno  (CZE),0,0,0,0,Athletics,Women's 100m
Eric Kruger,Germany,24,175,74,M,3/21/1988,3,Oschatz (GER),0,0,0,0,Athletics,Men's 4 x 400m Relay
Diego Ferrin,Ecuador,24,190,72,M,3/21/1988,3,QUININDE (ECU),0,0,0,0,Athletics,Men's High Jump
Antoine Gillet,Belgium,24,185,73,M,3/22/1988,3,LIBRAMONT,0,0,0,0,Athletics,Men's 4 x 400m Relay
Fabienne St Louis,Mauritius,24,171,54,F,3/22/1988,3,CUREPIPE (MRI),0,0,0,0,Triathlon,Women's Triathlon
Rose Anderson,Great Britain,24,175,70,F,3/23/1988,3,,0,0,0,0,Basketball,Women's Basketball
Roman Avramenko,Ukraine,24,185,95,M,3/23/1988,3,CRIMEA (UKR),0,0,0,0,Athletics,Men's Javelin Throw
Jason Kenny,Great Britain,24,177,80,M,3/23/1988,3,Bolton (GBR),1,0,0,1,Cycling - Track,"Men's Sprint, Men's Team Sprint"
Aiga Grabuste,Latvia,24,178,55,F,3/24/1988,3,Rezekne (LAT),0,0,0,0,Athletics,Women's Heptathlon
Sharmin Ratna,Bangladesh,24,160,71,F,3/24/1988,3,MAGURA (BAN),0,0,0,0,Shooting,Women's 10m Air Rifle
Elisabeth Eberl,Austria,24,170,69,F,3/25/1988,3,Graz (AUT),0,0,0,0,Athletics,Women's Javelin Throw
Christos Volikakis,Greece,24,171,83,M,3/25/1988,3,Volos (GRE),0,0,0,0,Cycling - Track,Men's Keirin
Mitchell Watt,Australia,24,184,83,M,3/25/1988,3,BENDIGO (AUS),0,0,0,0,Athletics,"Men's Long Jump, Men's 4 x 100m Relay"
Diogo Carvalho,Portugal,24,181,73,M,3/26/1988,3,COIMBRA (POR),0,0,0,0,Swimming,"Men's 200m Individual Medley, Men's 400m Individual Medley"
Holly Lincoln-Smith,Australia,24,183,82,F,3/26/1988,3,Sydney (AUS),0,0,0,0,Water Polo,Women's Water Polo
Petar Muslim,Croatia,24,200,102,M,3/26/1988,3,,0,0,0,0,Water Polo,Men's Water Polo
Juan Miguel Rando Galvez,Spain,24,184,73,M,3/26/1988,3,SANTA COLOMA (ESP),0,0,0,0,Swimming,Men's 100m Backstroke
Nazario Fiakaifonu,Vanuatu,24,189,123,M,3/27/1988,3,PORT VILA (VAN),0,0,0,0,Judo,Men's +100kg
Frankie Owen,Australia,24,157,,F,3/27/1988,3,CHESTER (GBR),0,0,0,0,Synchronised Swimming,Women's Teams
Mohamed Sbihi,Great Britain,24,203,103,M,3/27/1988,3,,0,0,1,1,Rowing,Men's Eight
Hakim Zouari,Tunisia,24,197,95,M,3/28/1988,3,SFAX (TUN),0,0,0,0,Volleyball,Men's Volleyball
Esther Cremer,Germany,24,170,55,F,3/29/1988,3,Koln (GER),0,0,0,0,Athletics,Women's 4 x 400m Relay
Shaune Fraser,Cayman Islands,24,186,86,M,3/29/1988,3,George Town (CAY),0,0,0,0,Swimming,"Men's 100m Freestyle, Men's 200m Freestyle"
Stefan Mitrovic,Serbia,24,194,85,M,3/29/1988,3,Beograd (SRB),0,0,0,0,Water Polo,Men's Water Polo
Bojana Zivkovic,Serbia,24,185,70,F,3/29/1988,3,Beograd (SRB),0,0,0,0,Volleyball,Women's Volleyball
Zaur Kuramagomedov,Russian Federation,24,162,60,M,3/30/1988,3,KABARDINO,0,0,0,0,Wrestling,Men's 60kg Greco-Roman
Shehab Younis,Egypt,24,193,78,M,3/30/1988,3,Alexandria (EGY),0,0,0,0,Swimming,Men's 50m Freestyle
Jenna Martin,Canada,24,173,65,F,3/31/1988,3,Liverpool (CAN),0,0,0,0,Athletics,Women's 400m
Sandie Clair,France,24,160,59,F,4/1/1988,4,TOULON (FRA),0,0,0,0,Cycling - Track,Women's Team Sprint
Galia Dvorak,Spain,24,169,58,F,4/1/1988,4,Kiev (UKR),0,0,0,0,Table Tennis,Women's Team
Kristyna Kolocova,Czech Republic,24,170,62,F,4/1/1988,4,,0,0,0,0,Beach Volleyball,Women's Beach Volleyball
Alessandra Perilli,San Marino,24,170,75,F,4/1/1988,4,RIMINI (ITA),0,0,0,0,Shooting,Women's Trap
Tiberiu Dolniceanu,Romania,24,179,74,M,4/3/1988,4,,0,0,0,0,Fencing,"Men's Individual Sabre, Men's Team Sabre"
Anja Klinar,Slovenia,24,170,62,F,4/3/1988,4,Jesenice (SLO),0,0,0,0,Swimming,"Women's 200m Butterfly, Women's 400m Individual Medley, Women's 4x200m Freestyle Relay"
Arnis Rumbenieks,Latvia,24,175,65,M,4/4/1988,4,Valmiera (LAT),0,0,0,0,Athletics,Men's 20km Race Walk
Joao Carlos Almeida,Portugal,24,185,88,M,4/5/1988,4,Lisboa (POR),0,0,0,0,Athletics,Men's 110m Hurdles
Kristoffer Brun,Norway,24,,,M,4/7/1988,4,,0,0,0,0,Rowing,Men's Lightweight Double Sculls
Pamela Fischer,Switzerland,24,158,,F,4/7/1988,4,Lausanne (SUI),0,0,0,0,Synchronised Swimming,Women's Duets
Marcos Freitas,Portugal,24,181,75,M,4/8/1988,4,MADEIRA (POR),0,0,0,0,Table Tennis,"Men's Singles, Men's Team"
Maria Alejandra Idrobo,Colombia,24,170,67,F,4/8/1988,4,EL TAMBO (COL),0,0,0,0,Athletics,Women's 4 x 100m Relay
Monika Fasungova,Slovakia,24,163,55,F,4/9/1988,4,Bratislava,0,0,0,0,Badminton,Women's Singles
Mayookha Johny,India,24,,,F,4/9/1988,4,Bombay (IND),0,0,0,0,Athletics,Women's Triple Jump
Minna Nikkanen,Finland,24,169,53,F,4/9/1988,4,Somero (FIN),0,0,0,0,Athletics,Women's Pole Vault
Cristian Ioan Bataga,Romania,24,171,,M,4/10/1988,4,TIRGU MURES (ROU),0,0,0,0,Gymnastics - Artistic,"Men's Team, Men's Qualification"
Eunice Jepkoech Sum,Kenya,24,159,53,F,4/10/1988,4,Uasin Gishu (KEN),0,0,0,0,Athletics,Women's 1500m
Krystian Aranowski,Poland,24,198,100,M,4/11/1988,4,,0,0,0,0,Rowing,Men's Eight
Raul Martinez Colomer,Puerto Rico,24,,,M,4/11/1988,4,HUMACAO (PUR),0,0,0,0,Swimming,Men's 200m Freestyle
Ciaran O'Lionaird,Ireland,24,,,M,4/11/1988,4,Cork (IRL),0,0,0,0,Athletics,Men's 1500m
Helena Wong,Singapore,24,158,52,F,4/11/1988,4,Singapore,0,0,0,0,Weightlifting,Women's 53kg
Cristina Bujin,Romania,24,172,53,F,4/12/1988,4,Constanta (ROU),0,0,0,0,Athletics,Women's Triple Jump
Eliska Klucinova,Czech Republic,24,178,69,F,4/14/1988,4,Praha (CZE),0,0,0,0,Athletics,Women's Heptathlon
Natalia Lovtcova,Russian Federation,24,177,70,F,4/14/1988,4,Kuybyshev Region (RUS),0,0,0,0,Swimming,Women's 4x100m Freestyle Relay
Maxime Richard,Belgium,24,178,75,M,4/14/1988,4,,0,0,0,0,Canoe Sprint,Men's Kayak Single (K1) 200m
Heather Steacy,Canada,24,175,80,F,4/14/1988,4,Saskatoon (CAN),0,0,0,0,Athletics,Women's Hammer Throw
Jeffrey Thys,Belgium,24,181,81,M,4/14/1988,4,,0,0,0,0,Hockey,Men's Hockey
Valerie Welsh,Canada,24,175,,F,4/14/1988,4,SAINT,0,0,0,0,Synchronised Swimming,Women's Teams
Francesco Fossi,Italy,24,199,97,M,4/15/1988,4,,0,0,0,0,Rowing,Men's Quadruple Sculls
Beate Schrott,Austria,24,175,70,F,4/15/1988,4,SANKT POLTEN (AUT),0,0,0,0,Athletics,Women's 100m Hurdles
Sarah Labrousse,France,24,175,,F,4/15/1988,4,RILLEUX LA PAPE (FRA),0,0,0,0,Synchronised Swimming,Women's Duets
Simon Child,New Zealand,24,186,82,M,4/16/1988,4,,0,0,0,0,Hockey,Men's Hockey
Romuald Hausser,Switzerland,24,185,71,M,4/16/1988,4,Genève (SUI),0,0,0,0,Sailing,Men's 470
Elena Oblova,Russian Federation,24,178,71,F,4/18/1988,4,Moscow Region (RUS),0,0,0,0,Sailing,Women's Elliott 6m
Jo Brigden-Jones,Australia,24,182,76,F,4/19/1988,4,,0,0,0,0,Canoe Sprint,Women's Kayak Four (K4) 500m
Radmila Miljanic,Montenegro,24,157,60,F,4/19/1988,4,,0,0,0,0,Handball,Women's Handball
Agnes Mutina,Hungary,24,170,63,F,4/19/1988,4,Miskolc (HUN),0,0,0,0,Swimming,"Women's 200m Freestyle, Women's 4x100m Freestyle Relay, Women's 4x200m Freestyle Relay"
Peter Emelieze,Nigeria,24,170,65,M,4/19/1988,4,Lagos (NGR),0,0,0,0,Athletics,Men's 100m
Meline Daluzyan,Armenia,24,160,69,F,4/20/1988,4,Gyumri,0,0,0,0,Weightlifting,Women's 69kg
Nadin Dawani,Jordan,24,176,,F,4/20/1988,4,Amman (JOR),0,0,0,0,Taekwondo,Women's +67kg
Ricky Berens,United States of America,24,188,93,M,4/21/1988,4,Charlotte (USA),1,1,0,2,Swimming,"Men's 200m Freestyle, Men's 4x100m Freestyle Relay, Men's 4x200m Freestyle Relay"
Edzus Treimanis,Latvia,24,182,80,M,4/21/1988,4,Valmiera (LAT),0,0,0,0,Cycling - BMX,Men's BMX
Florian Janistyn,Austria,24,190,80,M,4/22/1988,4,Wien (AUT),0,0,0,0,Swimming,Men's 4x200m Freestyle Relay
Alistair Brownlee,Great Britain,24,185,70,M,4/23/1988,4,DEWSBURY (GBR),0,0,0,0,Triathlon,Men's Triathlon
Leslie Copeland,Fiji,24,186,94,M,4/23/1988,4,Tavua (FIJ),0,0,0,0,Athletics,Men's Javelin Throw
Stephanie Houghton,Great Britain,24,172,62,F,4/23/1988,4,,0,0,0,0,Football,Women's Football
Asuna Tanaka,Japan,24,164,52,F,4/23/1988,4,,0,0,0,0,Football,Women's Football
Moon Kweon Kang,Republic of Korea,24,175,71,M,4/24/1988,4,,0,0,0,0,Hockey,Men's Hockey
Moonkyu Kang,Republic of Korea,24,175,71,M,4/24/1988,4,,0,0,0,0,Hockey,Men's Hockey
Ravi Kumar Katulu,India,24,,69,M,4/24/1988,4,BERHAMPUR GANJAM,0,0,0,0,Weightlifting,Men's 69kg
Gerard Kobeane,Burkina Faso,24,179,74,M,4/24/1988,4,KARANKASO VIGUE (BUR),0,0,0,0,Athletics,Men's 100m
Jaime Quiyuch,Guatemala,24,178,57,M,4/24/1988,4,GUATEMALA CITY (GUA),0,0,0,0,Athletics,Men's 50km Race Walk
Romain Girouille,France,24,193,75,M,4/26/1988,4,SAINT,0,0,0,0,Archery,"Men's Individual, Men's Team"
Franciela Krasucki,Brazil,24,,59,F,4/26/1988,4,Valinhos (BRA),0,0,0,0,Athletics,Women's 4 x 100m Relay
Suzaan van Biljon,South Africa,24,178,66,F,4/26/1988,4,Durban (RSA),0,0,0,0,Swimming,"Women's 100m Breaststroke, Women's 200m Breaststroke"
Peng Soon Chan,Malaysia,24,175,68,M,4/27/1988,4,PULAU PINANG,0,0,0,0,Badminton,Mixed Doubles
Chi-Chieh Hsu,Taipei (Chinese Taipei),24,177,72,M,4/27/1988,4,San Francisco (USA),0,0,0,0,Swimming,Men's 200m Butterfly
Sara Hendershot,United States of America,24,180,75,F,4/27/1988,4,,0,0,0,0,Rowing,Women's Pair
Ana Rente,Portugal,24,158,,F,4/27/1988,4,COIMBRA (POR),0,0,0,0,Trampoline,Women's Trampoline
Ole Magnus Bakken,Norway,24,,,M,4/28/1988,4,Hamar (NOR),0,0,0,0,Shooting,"Men's 10m Air Rifle, Men's 50m Rifle Prone"
Juan Mata,Spain,24,172,65,M,4/28/1988,4,,0,0,0,0,Football,Men's Football
Marika Popowicz,Poland,24,164,53,F,4/28/1988,4,Gniezno (POL),0,0,0,0,Athletics,Women's 4 x 100m Relay
Egor Nikolaev,Russian Federation,24,176,60,M,4/28/1988,4,Sverdlovsk Region (RUS),0,0,0,0,Athletics,Men's 1500m
Reto Schenkel,Switzerland,24,183,89,M,4/28/1988,4,Lome (TOG),0,0,0,0,Athletics,Men's 200m
Jun Yang,People's Republic of China,24,180,69,F,4/28/1988,4,Beijing (CHN),0,0,0,0,Water Polo,Women's Water Polo
Sara Bertolasi,Italy,24,178,68,F,4/29/1988,4,,0,0,0,0,Rowing,Women's Pair
Jan Kudlicka,Czech Republic,24,184,80,M,4/29/1988,4,Opava (CZE),0,0,0,0,Athletics,Men's Pole Vault
Taoufik Makhloufi,Algeria,24,176,70,M,4/29/1988,4,Souk Ahras (ALG),0,0,0,0,Athletics,"Men's 800m, Men's 1500m"
Sander Baart,Netherlands,24,178,78,M,4/30/1988,4,,0,0,0,0,Hockey,Men's Hockey
Akane Shibata,Japan,24,152,50,F,4/30/1988,4,NIKKO (JPN),0,0,0,0,Hockey,Women's Hockey
Robin Garnham,Great Britain,24,194,94,M,5/1/1988,5,,0,0,0,0,Handball,Men's Handball
Faicel Jaballah,Tunisia,24,196,130,M,5/1/1988,5,NEFTA (TUN),0,0,0,0,Judo,Men's +100kg
Chantae McMillan,United States of America,24,173,69,F,5/1/1988,5,CLARKSVILLE (USA),0,0,0,0,Athletics,Women's Heptathlon
Angelina Michshuk,Kazakhstan,24,155,54,F,5/1/1988,5,Shymkent (KAZ),0,0,0,0,Shooting,Women's Skeet
Tugce Sahutoglu,Turkey,24,180,115,F,5/1/1988,5,Mersin (TUR),0,0,0,0,Athletics,Women's Hammer Throw
Willemijn Bos,Netherlands,24,181,69,F,5/2/1988,5,EELDE (NED),0,0,0,0,Hockey,Women's Hockey
Sibusiso Matsenjwa,Swaziland,24,180,81,M,5/2/1988,5,LUBOMBO (SWZ),0,0,0,0,Athletics,Men's 200m
Artur Noga,Poland,24,196,92,M,5/2/1988,5,RACIBORZ (POL),0,0,0,0,Athletics,Men's 110m Hurdles
Santiago Montelli,Argentina,24,165,71,M,5/3/1988,5,,0,0,0,0,Hockey,Men's Hockey
Westley Gough,New Zealand,24,185,75,M,5/4/1988,5,Hastings (NZL),0,0,0,0,Cycling - Track,Men's Team Pursuit
Mikhail Ruday,Kazakhstan,24,193,100,M,5/4/1988,5,,0,0,0,0,Water Polo,Men's Water Polo
Alexander Tikhonov,Russian Federation,24,183,83,M,5/4/1988,5,Chelyabinsk Region (RUS),0,0,0,0,Swimming,"Men's 200m Individual Medley, Men's 400m Individual Medley"
Denys Berinchyk,Ukraine,24,170,,M,5/5/1988,5,,0,0,0,0,Boxing,Men's Light Welter (64kg)
Doreen Amata,Nigeria,24,198,54,F,5/6/1988,5,Lagos (NGR),0,0,0,0,Athletics,Women's High Jump
Miranda Ayim,Canada,24,183,78,F,5/6/1988,5,,0,0,0,0,Basketball,Women's Basketball
Christina Marie Katrina Julien,Canada,24,165,64,F,5/6/1988,5,,0,0,0,0,Football,Women's Football
Raysa Sanchez,Dominican Republic,24,178,61,F,5/6/1988,5,Santo Domingo (DOM),0,0,0,0,Athletics,Women's 400m
Andreea Chitu,Romania,24,158,52,F,5/7/1988,5,BOLINTIN VALE (ROU),0,0,0,0,Judo,Women's -52kg
Jin Ma,People's Republic of China,24,165,61,F,5/7/1988,5,Jiangsu,0,1,0,1,Badminton,Mixed Doubles
Pavel Sukhov,Russian Federation,24,180,78,M,5/7/1988,5,,0,0,0,0,Fencing,Men's Individual Epee
Chris Wright,Australia,24,186,84,M,5/7/1988,5,CAIRNS (AUS),0,0,0,0,Swimming,"Men's 100m Butterfly, Men's 200m Butterfly"
Sreejesh Parattu Raveendran,India,24,,,M,5/8/1988,5,,0,0,0,0,Hockey,Men's Hockey
David Herman,United States of America,24,170,70,M,5/9/1988,5,Lakewood (USA),0,0,0,0,Cycling - BMX,Men's BMX
Timm Klose,Switzerland,24,195,87,M,5/9/1988,5,,0,0,0,0,Football,Men's Football
Lei Zhang,People's Republic of China,24,171,65,F,5/9/1988,5,,0,0,0,0,Water Polo,Women's Water Polo
Julio Castillo Torres,Ecuador,24,184,,M,5/10/1988,5,FRANCISCO ORELLANA (ECU),0,0,0,0,Boxing,Men's Heavy (91kg)
Liviu Dumitrescu-Lazar,Romania,24,175,75,M,5/10/1988,5,,0,0,0,0,Canoe Sprint,Men's Canoe Double (C2) 1000m
Stephen Bird,Australia,24,189,86,M,5/11/1988,5,,0,0,0,0,Canoe Sprint,Men's Kayak Double (K2) 200m
Kieran O'malley,Great Britain,24,188,82,M,5/12/1988,5,Halifax (GBR),0,0,0,0,Volleyball,Men's Volleyball
Marcelo Vieira Da Silva Junior,Brazil,24,173,72,M,5/12/1988,5,,0,0,0,0,Football,Men's Football
Naphaswan Yangpaiboon,Thailand,24,162,66,F,5/12/1988,5,CHIANG MAI (THA),0,0,0,0,Shooting,"Women's 10m Air Pistol, Women's 25m Pistol"
Alejandro Zuniga,Chile,24,163,66,M,5/12/1988,5,Santiago (CHI),0,0,0,0,Judo,Men's -66kg
Estefania Garcia,Ecuador,24,165,63,F,5/13/1988,5,Portoviejo (ECU),0,0,0,0,Judo,Women's -63kg
William Lockwood,Australia,24,191,88,M,5/13/1988,5,,0,0,0,0,Rowing,Men's Four
Matthew Mclean,United States of America,24,198,100,M,5/13/1988,5,Cleveland (USA),1,0,0,1,Swimming,Men's 4x200m Freestyle Relay
